ResID;Ressource;TribuID;SquadID;SocieteID;TypeRessource;Profil;DateEntree;DateSortie;TJM_EUR;CoutJournalier_EUR;TauxActivite;TauxAbsence;FTE
RES0065;Ressource 0065;T02;T02-S03;SOC99;Alternant;Alternant;2022-11-12;;224;293;0,8407;0,0786;0,50
RES0066;Ressource 0066;T12;T12-S01;SOC03;Externe;ADC;2025-10-12;;693;736;0,7888;0,1776;0,60
RES0067;Ressource 0067;T01;T01-S04;SOC99;Interne;Interne;2026-02-12;2026-11-16;469;621;0,9090;0,0075;1,00
RES0068;Ressource 0068;T04;T04-S01;SOC99;Interne;Interne;2025-07-21;;449;518;0,8955;0,1677;1,00
RES0069;Ressource 0069;T12;T12-S01;SOC01;Externe;ADC;2022-11-09;;635;807;0,7994;0,0320;0,80
RES0070;Ressource 0070;T04;T04-S02;SOC01;Externe;ADC;2023-06-14;;508;579;0,6507;0,1124;1,00
RES0071;Ressource 0071;T01;T01-S05;SOC02;Externe;ADC;2025-02-25;;583;700;0,9401;0,1334;1,00
RES0072;Ressource 0072;T01;T01-S01;SOC03;Externe;ADC;2024-11-27;;681;891;0,9618;0,1742;1,00
RES0073;Ressource 0073;T04;T04-S04;SOC04;Externe;PU;2024-05-29;;766;961;0,8607;0,0154;0,60
RES0074;Ressource 0074;T04;T04-S04;SOC99;Interne;Interne;2025-07-16;2027-11-14;508;626;0,6634;0,1838;1,00
RES0075;Ressource 0075;T07;T07-S04;SOC99;Interne;Interne;2025-09-09;2027-08-17;575;706;0,9254;0,1034;1,00
RES0076;Ressource 0076;T06;T06-S01;SOC99;Interne;Interne;2025-10-25;;395;505;0,6254;0,1266;1,00
RES0077;Ressource 0077;T02;T02-S01;SOC02;Externe;ADC;2023-05-06;;697;743;0,8967;0,0959;0,80
RES0078;Ressource 0078;T06;T06-S04;SOC01;Externe;ADC;2026-04-23;;684;840;0,9149;0,0401;1,00
RES0079;Ressource 0079;T01;T01-S03;SOC01;Externe;PU;2026-04-24;;865;1058;0,9356;0,1747;0,50
RES0080;Ressource 0080;T07;T07-S03;SOC02;Externe;PU;2022-10-17;2025-07-28;758;941;0,6535;0,0878;0,50
RES0081;Ressource 0081;T08;T08-S05;SOC01;Externe;PU;2026-01-17;2027-03-21;840;1060;0,8404;0,1476;0,60
RES0082;Ressource 0082;T01;T01-S02;SOC99;Alternant;Alternant;2022-10-14;;196;259;0,9931;0,0354;0,80
RES0083;Ressource 0083;T03;T03-S04;SOC99;Interne;Interne;2023-01-15;;426;540;0,6465;0,1327;0,60
RES0084;Ressource 0084;T04;T04-S05;SOC99;Interne;Interne;2025-05-11;;472;569;0,8932;0,0482;1,00
RES0085;Ressource 0085;T10;T10-S05;SOC01;Externe;ADC;2024-10-31;;571;637;0,9345;0,1153;1,00
RES0086;Ressource 0086;T01;T01-S04;SOC01;Externe;ADC;2025-08-12;;689;860;0,8466;0,1232;1,00
RES0087;Ressource 0087;T06;T06-S01;SOC02;Externe;ADC;2024-07-31;;541;596;0,9698;0,0108;0,60
RES0088;Ressource 0088;T09;T09-S03;SOC01;Externe;ADC;2023-12-15;2026-12-09;580;613;0,6541;0,0301;1,00
RES0089;Ressource 0089;T03;T03-S05;SOC99;Interne;Interne;2022-09-13;;486;558;0,7843;0,0516;1,00
RES0090;Ressource 0090;T08;T08-S05;SOC99;Interne;Interne;2023-10-01;;544;686;0,7073;0,0298;0,50
RES0091;Ressource 0091;T02;T02-S02;SOC01;Externe;PU;2023-05-17;;730;798;0,7941;0,0074;1,00
RES0092;Ressource 0092;T01;T01-S02;SOC02;Externe;PU;2022-09-12;;686;830;0,9982;0,0410;0,80
RES0093;Ressource 0093;T05;T05-S03;SOC03;Externe;PU;2023-08-26;;969;1257;0,7344;0,0332;0,60
RES0094;Ressource 0094;T07;T07-S03;SOC03;Externe;ADC;2026-04-24;2028-04-24;711;871;0,9354;0,0031;0,60
RES0095;Ressource 0095;T04;T04-S04;SOC04;Externe;ADC;2025-10-17;;545;733;0,8198;0,0723;1,00
RES0096;Ressource 0096;T01;T01-S01;SOC03;Externe;ADC;2022-10-11;;666;872;0,7827;0,1494;0,80
RES0097;Ressource 0097;T02;T02-S03;SOC99;Interne;Interne;2024-12-04;;524;640;0,8342;0,0262;1,00
RES0098;Ressource 0098;T03;T03-S03;SOC06;Externe;ADC;2023-05-02;;630;816;0,7018;0,1435;1,00
RES0099;Ressource 0099;T03;T03-S03;SOC99;Interne;Interne;2024-03-29;2025-11-26;480;612;0,7258;0,1237;1,00
RES0100;Ressource 0100;T02;T02-S01;SOC02;Externe;ADC;2025-11-05;;486;542;0,9716;0,1201;0,60
RES0101;Ressource 0101;T10;T10-S04;SOC03;Externe;ADC;2023-07-01;2025-07-26;625;731;0,6987;0,0472;1,00
RES0102;Ressource 0102;T01;T01-S05;SOC02;Externe;PU;2025-03-01;2026-01-28;834;909;0,8539;0,1248;1,00
RES0103;Ressource 0103;T02;T02-S04;SOC01;Externe;ADC;2025-02-22;;529;564;0,9379;0,0441;0,50
RES0104;Ressource 0104;T01;T01-S05;SOC99;Interne;Interne;2022-09-20;;440;573;0,7924;0,1900;1,00
RES0105;Ressource 0105;T08;T08-S03;SOC03;Externe;ADC;2024-08-22;;736;785;0,8999;0,0738;0,80
RES0106;Ressource 0106;T01;T01-S02;SOC99;Alternant;Alternant;2022-11-12;;186;224;0,8171;0,1036;1,00
RES0107;Ressource 0107;T02;T02-S04;SOC01;Externe;PU;2022-09-20;;884;1011;0,6409;0,1278;0,50
RES0108;Ressource 0108;T11;T11-S03;SOC05;Externe;ADC;2023-09-16;;654;785;0,9268;0,1275;0,50
RES0109;Ressource 0109;T02;T02-S03;SOC99;Interne;Interne;2025-02-01;;562;671;0,6339;0,1251;1,00
RES0110;Ressource 0110;T10;T10-S01;SOC99;Interne;Interne;2026-03-16;;517;596;0,7754;0,1251;1,00
RES0111;Ressource 0111;T01;T01-S01;SOC99;Interne;Interne;2025-09-22;;617;754;0,8840;0,0386;1,00
RES0112;Ressource 0112;T06;T06-S03;SOC99;Interne;Interne;2023-05-05;;454;482;0,6825;0,1278;1,00
RES0113;Ressource 0113;T09;T09-S05;SOC01;Externe;ADC;2022-08-01;2027-04-09;494;562;0,7056;0,0986;0,80
RES0114;Ressource 0114;T02;T02-S02;SOC03;Externe;PU;2022-09-24;;896;1148;0,9193;0,0855;0,50
RES0115;Ressource 0115;T11;T11-S01;SOC02;Externe;PU;2024-02-18;2026-04-29;976;1136;0,6347;0,0235;0,50
RES0116;Ressource 0116;T02;T02-S03;SOC02;Externe;ADC;2023-09-02;;756;924;0,6774;0,0668;1,00
RES0117;Ressource 0117;T07;T07-S05;SOC03;Externe;ADC;2024-11-06;2026-07-03;570;748;0,7033;0,1109;0,50
RES0118;Ressource 0118;T02;T02-S04;SOC01;Externe;PU;2022-10-22;2026-07-11;861;1133;0,6255;0,0367;1,00
RES0119;Ressource 0119;T06;T06-S05;SOC99;Interne;Interne;2023-12-16;2026-11-16;456;586;0,9481;0,1025;1,00
RES0120;Ressource 0120;T04;T04-S03;SOC01;Externe;PU;2024-05-29;;694;848;0,8407;0,0974;1,00
RES0121;Ressource 0121;T09;T09-S02;SOC99;Interne;Interne;2022-07-21;;543;718;0,7107;0,1776;1,00
RES0122;Ressource 0122;T03;T03-S03;SOC01;Externe;ADC;2022-10-14;;535;594;0,9681;0,1717;0,80
RES0123;Ressource 0123;T12;T12-S04;SOC03;Externe;ADC;2023-09-04;;677;767;0,7135;0,1131;1,00
RES0124;Ressource 0124;T04;T04-S03;SOC01;Externe;ADC;2025-03-14;;771;937;0,8036;0,0705;1,00
RES0125;Ressource 0125;T05;T05-S01;SOC01;Externe;ADC;2024-01-23;2025-12-11;757;976;0,9681;0,0574;0,60
RES0126;Ressource 0126;T01;T01-S05;SOC99;Interne;Interne;2026-04-17;2028-01-26;555;614;0,6778;0,0789;0,80
RES0127;Ressource 0127;T04;T04-S01;SOC99;Interne;Interne;2025-02-03;;582;775;0,8928;0,0532;0,60
RES0128;Ressource 0128;T01;T01-S01;SOC99;Alternant;Alternant;2026-01-30;2026-06-03;192;256;0,7955;0,0006;1,00
RES0129;Ressource 0129;T02;T02-S03;SOC05;Externe;ADC;2025-03-24;;533;589;0,9939;0,0765;1,00
RES0130;Ressource 0130;T03;T03-S04;SOC04;Externe;ADC;2026-05-09;2027-03-27;593;752;0,7648;0,1580;1,00
RES0131;Ressource 0131;T02;T02-S04;SOC01;Externe;ADC;2026-02-16;2027-03-10;752;991;0,9296;0,0380;0,50
RES0132;Ressource 0132;T09;T09-S03;SOC02;Externe;ADC;2025-09-24;;589;636;0,9567;0,1823;0,80
RES0133;Ressource 0133;T04;T04-S04;SOC04;Externe;ADC;2025-08-02;;727;769;0,9016;0,1510;1,00
RES0134;Ressource 0134;T01;T01-S05;SOC03;Externe;PU;2025-01-09;2025-12-12;913;985;0,8785;0,0434;1,00
RES0135;Ressource 0135;T05;T05-S02;SOC01;Externe;ADC;2025-12-27;;634;719;0,6436;0,1129;1,00
RES0136;Ressource 0136;T04;T04-S04;SOC99;Alternant;Alternant;2025-06-02;;238;300;0,6774;0,1344;1,00
RES0137;Ressource 0137;T12;T12-S03;SOC03;Externe;ADC;2024-08-25;;567;618;0,8262;0,0129;0,60
RES0138;Ressource 0138;T02;T02-S01;SOC01;Externe;ADC;2024-04-08;;755;914;0,8526;0,0660;0,60
RES0139;Ressource 0139;T06;T06-S01;SOC02;Externe;ADC;2024-03-02;;510;538;0,9996;0,0366;0,50
RES0140;Ressource 0140;T03;T03-S04;SOC01;Externe;ADC;2026-01-10;;519;559;0,6962;0,0135;1,00
RES0141;Ressource 0141;T07;T07-S02;SOC02;Externe;ADC;2023-01-04;;747;998;0,9084;0,1680;0,60
RES0142;Ressource 0142;T10;T10-S03;SOC99;Alternant;Alternant;2024-10-13;;217;241;0,9937;0,1896;0,50
RES0143;Ressource 0143;T01;T01-S02;SOC01;Externe;ADC;2024-08-09;;740;996;0,8483;0,1798;1,00
RES0144;Ressource 0144;T03;T03-S01;SOC01;Externe;PU;2025-03-21;;848;983;0,9032;0,1711;0,50
RES0145;Ressource 0145;T12;T12-S04;SOC04;Externe;ADC;2024-03-25;;704;817;0,6580;0,0247;0,60
RES0146;Ressource 0146;T09;T09-S01;SOC03;Externe;PU;2024-02-28;;629;662;0,7517;0,0216;0,60
RES0147;Ressource 0147;T06;T06-S02;SOC05;Externe;ADC;2025-11-02;;582;621;0,9902;0,0495;1,00
RES0148;Ressource 0148;T01;T01-S03;SOC02;Externe;ADC;2025-08-31;;515;597;0,8930;0,1153;0,50
RES0149;Ressource 0149;T04;T04-S05;SOC99;Interne;Interne;2025-07-28;;579;662;0,9273;0,1108;0,60
RES0150;Ressource 0150;T03;T03-S05;SOC01;Externe;ADC;2022-08-03;2025-09-14;662;790;0,9512;0,1559;1,00
RES0151;Ressource 0151;T04;T04-S05;SOC02;Externe;ADC;2024-06-27;;556;741;0,8564;0,0444;1,00
RES0152;Ressource 0152;T07;T07-S05;SOC04;Externe;ADC;2022-09-25;2026-12-27;593;629;0,6270;0,0795;1,00
RES0153;Ressource 0153;T06;T06-S05;SOC01;Externe;PU;2026-04-08;2026-10-06;951;1220;0,8149;0,0758;0,80
RES0154;Ressource 0154;T12;T12-S02;SOC01;Externe;PU;2023-12-01;;846;1122;0,7928;0,1295;0,50
RES0155;Ressource 0155;T03;T03-S02;SOC99;Interne;Interne;2024-05-31;;568;729;0,8585;0,0859;1,00
RES0156;Ressource 0156;T06;T06-S04;SOC01;Externe;ADC;2023-01-07;;660;770;0,9389;0,1284;1,00
RES0157;Ressource 0157;T10;T10-S01;SOC99;Alternant;Alternant;2024-07-31;2026-04-29;214;227;0,7357;0,0099;0,50
RES0158;Ressource 0158;T01;T01-S04;SOC01;Externe;ADC;2024-12-21;;641;849;0,7052;0,1437;0,50
RES0159;Ressource 0159;T03;T03-S02;SOC99;Interne;Interne;2023-09-03;2025-05-13;514;625;0,8708;0,0915;1,00
RES0160;Ressource 0160;T01;T01-S02;SOC02;Externe;ADC;2022-07-26;2026-05-09;711;760;0,9073;0,1516;0,50
RES0161;Ressource 0161;T12;T12-S04;SOC01;Externe;PU;2024-04-07;;879;1049;0,7267;0,0884;0,60
RES0162;Ressource 0162;T01;T01-S04;SOC01;Externe;PU;2023-09-14;;636;677;0,6496;0,1539;1,00
RES0163;Ressource 0163;T06;T06-S01;SOC05;Externe;ADC;2022-09-22;;581;661;0,7177;0,0294;0,80
RES0164;Ressource 0164;T02;T02-S04;SOC99;Interne;Interne;2024-09-13;;444;509;0,8419;0,1671;0,80
RES0165;Ressource 0165;T02;T02-S02;SOC04;Externe;ADC;2022-09-12;;664;817;0,9965;0,1662;1,00
RES0166;Ressource 0166;T04;T04-S05;SOC01;Externe;ADC;2024-02-24;;583;782;0,9971;0,1019;1,00
RES0167;Ressource 0167;T03;T03-S04;SOC99;Interne;Interne;2024-01-24;;418;490;0,9974;0,0211;0,50
RES0168;Ressource 0168;T09;T09-S01;SOC01;Externe;ADC;2025-08-29;;554;607;0,6415;0,0739;1,00
RES0169;Ressource 0169;T02;T02-S01;SOC99;Interne;Interne;2025-01-07;;551;594;0,8208;0,0651;1,00
RES0170;Ressource 0170;T01;T01-S02;SOC99;Alternant;Alternant;2024-11-02;;245;289;0,8045;0,1213;1,00
RES0171;Ressource 0171;T09;T09-S05;SOC01;Externe;ADC;2023-06-30;;484;626;0,8100;0,1565;1,00
RES0172;Ressource 0172;T03;T03-S01;SOC99;Interne;Interne;2024-03-27;;564;695;0,6883;0,1280;1,00
RES0173;Ressource 0173;T01;T01-S04;SOC05;Externe;PU;2026-04-01;;670;707;0,8918;0,0587;1,00
RES0174;Ressource 0174;T03;T03-S04;SOC02;Externe;ADC;2024-07-25;;535;700;0,7523;0,1203;0,60
RES0175;Ressource 0175;T09;T09-S05;SOC03;Externe;ADC;2023-08-03;;674;893;0,8486;0,0531;1,00
RES0176;Ressource 0176;T05;T05-S02;SOC01;Externe;PU;2026-01-30;2027-12-23;813;888;0,7413;0,0257;1,00
RES0177;Ressource 0177;T03;T03-S01;SOC04;Externe;PU;2023-03-30;2027-06-14;869;1137;0,6703;0,1149;0,60
RES0178;Ressource 0178;T05;T05-S03;SOC01;Externe;ADC;2025-01-19;;644;864;0,6247;0,0092;1,00
RES0179;Ressource 0179;T01;T01-S02;SOC99;Interne;Interne;2022-09-14;;600;694;0,9773;0,1550;0,60
RES0180;Ressource 0180;T04;T04-S05;SOC02;Externe;ADC;2024-07-01;;771;978;0,8673;0,0542;0,80
RES0181;Ressource 0181;T06;T06-S03;SOC99;Alternant;Alternant;2023-08-05;;252;327;0,8328;0,0859;1,00
RES0182;Ressource 0182;T02;T02-S04;SOC99;Interne;Interne;2025-06-30;;497;549;0,9810;0,0753;0,50
RES0183;Ressource 0183;T01;T01-S05;SOC06;Externe;ADC;2023-02-15;2025-09-07;542;697;0,6991;0,1833;1,00
RES0184;Ressource 0184;T01;T01-S03;SOC02;Externe;ADC;2024-05-08;2025-06-27;671;858;0,6659;0,0083;1,00
RES0185;Ressource 0185;T04;T04-S01;SOC99;Interne;Interne;2024-04-06;;579;743;0,9853;0,0684;0,80
RES0186;Ressource 0186;T05;T05-S01;SOC99;Interne;Interne;2025-07-11;;461;533;0,9362;0,1662;0,80
RES0187;Ressource 0187;T03;T03-S01;SOC99;Interne;Interne;2025-02-23;2027-07-03;512;581;0,9213;0,1076;0,60
RES0188;Ressource 0188;T04;T04-S05;SOC01;Externe;ADC;2025-07-21;;509;672;0,8287;0,0424;0,60
RES0189;Ressource 0189;T01;T01-S03;SOC99;Interne;Interne;2023-12-24;2026-07-06;441;592;0,8919;0,0499;1,00
RES0190;Ressource 0190;T01;T01-S05;SOC99;Interne;Interne;2023-04-06;;516;680;0,7813;0,1824;1,00
RES0191;Ressource 0191;T01;T01-S01;SOC05;Externe;ADC;2024-01-09;2025-07-02;680;781;0,7648;0,1071;1,00
RES0192;Ressource 0192;T11;T11-S03;SOC02;Externe;ADC;2025-04-25;;683;879;0,8450;0,1519;1,00
RES0193;Ressource 0193;T04;T04-S04;SOC02;Externe;ADC;2023-04-13;;683;895;0,6225;0,0449;1,00
RES0194;Ressource 0194;T01;T01-S02;SOC03;Externe;ADC;2023-01-10;;596;724;0,6334;0,0262;0,80
RES0195;Ressource 0195;T12;T12-S04;SOC01;Externe;ADC;2025-12-09;;615;707;0,8924;0,1810;0,80
RES0196;Ressource 0196;T03;T03-S05;SOC02;Externe;ADC;2022-09-24;;623;828;0,6848;0,1813;0,50
RES0197;Ressource 0197;T03;T03-S02;SOC05;Externe;PU;2026-03-08;;878;1160;0,7698;0,0935;0,50
RES0198;Ressource 0198;T03;T03-S03;SOC99;Interne;Interne;2022-11-23;;573;687;0,8341;0,1648;0,60
RES0199;Ressource 0199;T03;T03-S05;SOC99;Interne;Interne;2023-04-12;;603;784;0,6222;0,0898;1,00
RES0200;Ressource 0200;T04;T04-S05;SOC01;Externe;PU;2024-07-01;;629;736;0,7409;0,1828;1,00
RES0201;Ressource 0201;T07;T07-S02;SOC01;Externe;ADC;2025-12-01;2026-10-03;654;744;0,7709;0,1348;0,50
RES0202;Ressource 0202;T03;T03-S01;SOC01;Externe;ADC;2024-11-18;;691;911;0,6297;0,1501;1,00
RES0203;Ressource 0203;T05;T05-S01;SOC99;Alternant;Alternant;2024-10-20;;198;250;0,7790;0,0211;1,00
RES0204;Ressource 0204;T02;T02-S04;SOC99;Interne;Interne;2024-05-26;;432;574;0,7376;0,1481;1,00
RES0205;Ressource 0205;T06;T06-S05;SOC01;Externe;ADC;2024-03-25;;771;837;0,6387;0,1161;1,00
RES0206;Ressource 0206;T07;T07-S01;SOC05;Externe;PU;2025-07-15;;660;856;0,7494;0,0717;1,00
RES0207;Ressource 0207;T05;T05-S03;SOC02;Externe;ADC;2023-05-24;2027-01-24;521;699;0,8834;0,1049;1,00
RES0208;Ressource 0208;T05;T05-S05;SOC01;Externe;PU;2024-05-12;;777;977;0,7858;0,0418;0,50
RES0209;Ressource 0209;T10;T10-S03;SOC99;Interne;Interne;2022-12-16;;599;686;0,9767;0,0566;0,50
RES0210;Ressource 0210;T07;T07-S01;SOC03;Externe;ADC;2025-12-23;;528;684;0,6862;0,0590;1,00
RES0211;Ressource 0211;T06;T06-S01;SOC99;Stagiaire;Stagiaire;2024-08-09;;134;164;0,7836;0,1252;1,00
RES0212;Ressource 0212;T11;T11-S02;SOC03;Externe;ADC;2022-12-02;;528;591;0,7934;0,0230;0,60
RES0213;Ressource 0213;T10;T10-S01;SOC01;Externe;PU;2023-01-23;2026-10-16;820;1096;0,8989;0,1556;0,60
RES0214;Ressource 0214;T12;T12-S03;SOC03;Externe;ADC;2023-06-27;2026-03-18;520;580;0,8150;0,1559;1,00
RES0215;Ressource 0215;T03;T03-S03;SOC01;Externe;ADC;2024-10-18;2026-06-24;766;896;0,8182;0,1137;0,80
RES0216;Ressource 0216;T07;T07-S03;SOC04;Externe;ADC;2024-03-13;;660;802;0,7487;0,0219;0,80
RES0217;Ressource 0217;T03;T03-S04;SOC01;Externe;ADC;2025-09-14;;711;830;0,8661;0,1131;1,00
RES0218;Ressource 0218;T02;T02-S03;SOC01;Externe;PU;2023-02-23;;789;1062;0,8666;0,0379;1,00
RES0219;Ressource 0219;T01;T01-S03;SOC04;Externe;PU;2025-10-29;;924;1002;0,8366;0,0096;1,00
RES0220;Ressource 0220;T01;T01-S04;SOC03;Externe;PU;2022-08-12;;734;807;0,6651;0,0158;1,00
