Date;ObjetID;PortfolioID;TribuID;Budget_Initial_EUR;Budget_Engage_EUR;Budget_Consomme_EUR;Reste_A_Faire_EUR
2025-03-01;DMND0000003;PF14;T10;37045,03;34251,92;28262,51;8782,52
2025-04-01;DMND0000003;PF14;T10;46427,42;45159,29;35420,55;11006,87
2025-05-01;DMND0000003;PF14;T10;34214,06;31241,61;26102,70;8111,36
2025-06-01;DMND0000003;PF14;T10;47694,91;48567,70;36387,55;11307,36
2025-07-01;DMND0000003;PF14;T10;48475,28;48451,88;36982,91;11492,37
2025-08-01;DMND0000003;PF14;T10;15423,49;13913,50;11766,94;3656,55
2025-09-01;DMND0000003;PF14;T10;45041,55;45679,23;34363,24;10678,31
2025-10-01;DMND0000003;PF14;T10;45117,05;40355,40;34420,84;10696,21
2025-11-01;DMND0000003;PF14;T10;40437,74;37208,71;30850,89;9586,85
2025-12-01;DMND0000003;PF14;T10;35400,41;34708,30;27007,79;8392,62
2026-01-01;DMND0000003;PF14;T10;38698,90;39558,69;29524,29;9174,61
2026-02-01;DMND0000003;PF14;T10;36979,09;37741,08;28212,20;8766,89
2026-03-01;DMND0000003;PF14;T10;46707,12;42363,51;35633,94;11073,18
2026-04-01;DMND0000003;PF14;T10;54442,57;51076,13;41535,50;12907,07
2026-05-01;DMND0000003;PF14;T10;36624,19;34832,33;27941,44;8682,75
2026-06-01;DMND0000003;PF14;T10;46456,29;48732,82;35442,58;11013,71
2026-07-01;DMND0000003;PF14;T10;49708,57;51721,67;37923,82;11784,75
2026-08-01;DMND0000003;PF14;T10;18995,74;17253,51;14492,29;4503,45
2026-09-01;DMND0000003;PF14;T10;0,00;0,00;0,00;0,00
2026-10-01;DMND0000003;PF14;T10;0,00;0,00;0,00;0,00
2026-11-01;DMND0000003;PF14;T10;0,00;0,00;0,00;0,00
2025-01-01;DMND0000004;PF03;T10;9547,34;9461,76;12552,60;0,00
2025-02-01;DMND0000004;PF03;T10;9163,33;8834,02;12047,71;0,00
2025-03-01;DMND0000004;PF03;T10;15920,40;15335,55;20931,73;0,00
2025-04-01;DMND0000004;PF03;T10;17048,58;17977,83;22415,03;0,00
2025-05-01;DMND0000004;PF03;T10;13091,90;13110,44;17212,89;0,00
2025-06-01;DMND0000004;PF03;T10;15092,47;13805,38;19843,19;0,00
2025-07-01;DMND0000004;PF03;T10;16511,71;14688,03;21709,17;0,00
2025-08-01;DMND0000004;PF03;T10;6119,72;6138,10;8046,05;0,00
2025-09-01;DMND0000004;PF03;T10;16714,44;15329,32;21975,72;0,00
2025-10-01;DMND0000004;PF03;T10;16128,61;14853,04;21205,48;0,00
2025-11-01;DMND0000004;PF03;T10;14160,42;13919,05;18617,76;0,00
2025-12-01;DMND0000004;PF03;T10;12000,36;10873,70;15777,77;0,00
2026-01-01;DMND0000004;PF03;T10;13229,53;12382,46;17393,84;0,00
2026-02-01;DMND0000004;PF03;T10;13250,73;13791,60;17421,72;0,00
2026-03-01;DMND0000004;PF03;T10;10545,99;11021,65;13865,60;0,00
2026-04-01;DMND0000004;PF03;T10;10700,29;10800,52;14068,46;0,00
2026-05-01;DMND0000004;PF03;T10;7844,37;7653,03;10313,58;0,00
2026-06-01;DMND0000004;PF03;T10;9065,61;8840,46;11919,23;0,00
2026-07-01;DMND0000004;PF03;T10;9237,58;8522,38;12145,33;0,00
2026-08-01;DMND0000004;PF03;T10;3690,99;3497,44;4852,82;0,00
2026-09-01;DMND0000004;PF03;T10;0,00;0,00;0,00;0,00
2026-10-01;DMND0000004;PF03;T10;0,00;0,00;0,00;0,00
2026-11-01;DMND0000004;PF03;T10;0,00;0,00;0,00;0,00
2025-01-01;DMND0000005;PF05;T08;8835,57;8622,34;6802,91;2032,66
2025-02-01;DMND0000005;PF05;T08;9018,04;7997,00;6943,40;2074,64
2025-03-01;DMND0000005;PF05;T08;10566,10;9977,24;8135,32;2430,78
2025-04-01;DMND0000005;PF05;T08;11987,25;11522,46;9229,53;2757,72
2025-05-01;DMND0000005;PF05;T08;11427,56;10580,85;8798,60;2628,96
2025-06-01;DMND0000005;PF05;T08;9497,85;9463,03;7312,83;2185,02
2025-07-01;DMND0000005;PF05;T08;10905,37;10733,32;8396,54;2508,83
2025-08-01;DMND0000005;PF05;T08;5455,48;5216,92;4200,42;1255,06
2025-09-01;DMND0000005;PF05;T08;14052,55;12680,23;10819,70;3232,85
2025-10-01;DMND0000005;PF05;T08;11605,20;12170,87;8935,37;2669,83
2025-11-01;DMND0000005;PF05;T08;11259,16;11495,85;8668,94;2590,22
2025-12-01;DMND0000005;PF05;T08;8483,28;8549,80;6531,66;1951,62
2026-01-01;DMND0000005;PF05;T08;14907,39;14457,48;11477,88;3429,51
2026-02-01;DMND0000005;PF05;T08;19599,31;20677,46;15090,40;4508,91
2026-03-01;DMND0000005;PF05;T08;27484,82;25599,33;21161,81;6323,01
2026-04-01;DMND0000005;PF05;T08;30211,27;27501,60;23261,03;6950,24
2026-05-01;DMND0000005;PF05;T08;18477,76;17792,21;14226,87;4250,89
2026-06-01;DMND0000005;PF05;T08;22983,49;23399,35;17696,03;5287,46
2026-07-01;DMND0000005;PF05;T08;26459,74;26037,65;20372,56;6087,18
2026-08-01;DMND0000005;PF05;T08;10693,98;11253,25;8233,78;2460,20
2026-09-01;DMND0000005;PF05;T08;0,00;0,00;0,00;0,00
2026-10-01;DMND0000005;PF05;T08;0,00;0,00;0,00;0,00
2026-11-01;DMND0000005;PF05;T08;0,00;0,00;0,00;0,00
2025-02-01;DMND0000007;PF02;T06;6765,91;6183,59;4745,21;2020,70
2025-03-01;DMND0000007;PF02;T06;9514,78;8660,69;6673,11;2841,67
2025-04-01;DMND0000007;PF02;T06;11846,64;11876,24;8308,54;3538,10
2025-05-01;DMND0000007;PF02;T06;13460,21;12924,70;9440,20;4020,01
2025-06-01;DMND0000007;PF02;T06;15944,38;16323,72;11182,45;4761,93
2025-07-01;DMND0000007;PF02;T06;16705,28;15030,10;11716,10;4989,18
2025-08-01;DMND0000007;PF02;T06;5989,04;5948,03;4200,36;1788,68
2025-09-01;DMND0000007;PF02;T06;16100,07;14829,35;11291,64;4808,43
2025-10-01;DMND0000007;PF02;T06;19847,63;20291,69;13919,96;5927,67
2025-11-01;DMND0000007;PF02;T06;14396,02;14888,48;10096,52;4299,50
2025-12-01;DMND0000007;PF02;T06;14786,23;14459,31;10370,19;4416,04
2026-01-01;DMND0000007;PF02;T06;14805,48;14644,57;10383,69;4421,79
2026-02-01;DMND0000007;PF02;T06;11387,99;10714,63;7986,87;3401,12
2026-03-01;DMND0000007;PF02;T06;16822,98;17826,55;11798,65;5024,33
2026-04-01;DMND0000007;PF02;T06;26186,91;23819,95;18365,96;7820,95
2026-05-01;DMND0000007;PF02;T06;19327,68;18689,42;13555,30;5772,38
2026-06-01;DMND0000007;PF02;T06;22979,46;21869,71;16116,44;6863,02
2026-07-01;DMND0000007;PF02;T06;24654,23;22305,11;17291,03;7363,20
2026-08-01;DMND0000007;PF02;T06;9555,26;9265,92;6701,50;2853,76
2026-09-01;DMND0000007;PF02;T06;0,00;0,00;0,00;0,00
2026-10-01;DMND0000007;PF02;T06;0,00;0,00;0,00;0,00
2026-11-01;DMND0000007;PF02;T06;0,00;0,00;0,00;0,00
2025-01-01;DMND0000008;PF06;T05;13743,92;12118,28;16142,13;0,00
2025-02-01;DMND0000008;PF06;T05;14783,12;14391,08;17362,67;0,00
2025-03-01;DMND0000008;PF06;T05;16024,08;16587,81;18820,16;0,00
2025-04-01;DMND0000008;PF06;T05;16894,71;15480,15;19842,72;0,00
2025-05-01;DMND0000008;PF06;T05;12299,71;12689,71;14445,92;0,00
2025-06-01;DMND0000008;PF06;T05;13748,64;12790,06;16147,68;0,00
2025-07-01;DMND0000008;PF06;T05;12904,51;13529,28;15156,25;0,00
2025-08-01;DMND0000008;PF06;T05;6912,79;6284,27;8119,02;0,00
2025-09-01;DMND0000008;PF06;T05;9903,76;9173,35;11631,89;0,00
2025-10-01;DMND0000008;PF06;T05;14087,59;13006,84;16545,77;0,00
2025-11-01;DMND0000008;PF06;T05;9206,31;8941,06;10812,75;0,00
2025-12-01;DMND0000008;PF06;T05;8619,19;8438,71;10123,18;0,00
2026-01-01;DMND0000008;PF06;T05;9128,96;9064,17;10721,90;0,00
2026-02-01;DMND0000008;PF06;T05;16438,20;16542,74;19306,55;0,00
2026-03-01;DMND0000008;PF06;T05;26314,88;26695,61;30906,63;0,00
2026-04-01;DMND0000008;PF06;T05;23047,59;20514,67;27069,23;0,00
2026-05-01;DMND0000008;PF06;T05;14391,61;13285,52;16902,84;0,00
2026-06-01;DMND0000008;PF06;T05;18016,71;18018,14;21160,50;0,00
2026-07-01;DMND0000008;PF06;T05;21485,18;19463,94;25234,19;0,00
2026-08-01;DMND0000008;PF06;T05;7812,71;7995,80;9175,97;0,00
2026-09-01;DMND0000008;PF06;T05;0,00;0,00;0,00;0,00
2026-10-01;DMND0000008;PF06;T05;0,00;0,00;0,00;0,00
2026-11-01;DMND0000008;PF06;T05;0,00;0,00;0,00;0,00
2025-01-01;DMND0000009;PF12;T01;6738,99;6049,03;8233,96;0,00
2025-02-01;DMND0000009;PF12;T01;5425,00;5272,84;6628,48;0,00
2025-03-01;DMND0000009;PF12;T01;8249,48;7390,90;10079,54;0,00
2025-04-01;DMND0000009;PF12;T01;9111,54;8716,92;11132,84;0,00
2025-05-01;DMND0000009;PF12;T01;6726,90;6327,06;8219,19;0,00
2025-06-01;DMND0000009;PF12;T01;7933,49;7208,09;9693,45;0,00
2025-07-01;DMND0000009;PF12;T01;7573,61;6703,48;9253,73;0,00
2025-08-01;DMND0000009;PF12;T01;3255,18;3266,79;3977,31;0,00
2025-09-01;DMND0000009;PF12;T01;7681,70;6852,24;9385,80;0,00
2025-10-01;DMND0000009;PF12;T01;7160,71;7364,13;8749,24;0,00
2025-11-01;DMND0000009;PF12;T01;6780,18;6932,39;8284,29;0,00
2025-12-01;DMND0000009;PF12;T01;6511,94;6845,30;7956,54;0,00
2026-01-01;DMND0000009;PF12;T01;7922,99;7936,07;9680,62;0,00
2026-02-01;DMND0000009;PF12;T01;10251,51;10101,63;12525,69;0,00
2026-03-01;DMND0000009;PF12;T01;11377,63;10397,35;13901,63;0,00
2026-04-01;DMND0000009;PF12;T01;12667,89;11769,56;15478,12;0,00
2026-05-01;DMND0000009;PF12;T01;8169,47;7980,84;9981,78;0,00
2026-06-01;DMND0000009;PF12;T01;11044,79;10212,26;13494,96;0,00
2026-07-01;DMND0000009;PF12;T01;8385,35;8307,19;10245,55;0,00
2026-08-01;DMND0000009;PF12;T01;2751,35;2870,05;3361,71;0,00
2026-09-01;DMND0000009;PF12;T01;0,00;0,00;0,00;0,00
2026-10-01;DMND0000009;PF12;T01;0,00;0,00;0,00;0,00
2026-11-01;DMND0000009;PF12;T01;0,00;0,00;0,00;0,00
2025-01-01;DMND0000010;PF12;T11;11541,12;10314,06;13798,25;0,00
2025-02-01;DMND0000010;PF12;T11;10456,82;10891,94;12501,89;0,00
2025-03-01;DMND0000010;PF12;T11;14848,24;15532,78;17752,16;0,00
2025-04-01;DMND0000010;PF12;T11;15272,70;14942,57;18259,63;0,00
2025-05-01;DMND0000010;PF12;T11;9743,13;8601,25;11648,63;0,00
2025-06-01;DMND0000010;PF12;T11;12340,77;11238,59;14754,29;0,00
2025-07-01;DMND0000010;PF12;T11;12996,11;13505,04;15537,80;0,00
2025-08-01;DMND0000010;PF12;T11;4858,21;4401,56;5808,35;0,00
2025-09-01;DMND0000010;PF12;T11;15210,80;14345,18;18185,63;0,00
2025-10-01;DMND0000010;PF12;T11;14597,64;12933,40;17452,55;0,00
2025-11-01;DMND0000010;PF12;T11;9989,00;8906,00;11942,58;0,00
2025-12-01;DMND0000010;PF12;T11;10015,72;9603,88;11974,53;0,00
2026-01-01;DMND0000010;PF12;T11;12126,64;10911,22;14498,29;0,00
2026-02-01;DMND0000010;PF12;T11;11299,84;10335,19;13509,79;0,00
2026-03-01;DMND0000010;PF12;T11;14715,52;14568,30;17593,48;0,00
2026-04-01;DMND0000010;PF12;T11;16244,63;16421,68;19421,65;0,00
2026-05-01;DMND0000010;PF12;T11;10901,83;11214,55;13033,94;0,00
2026-06-01;DMND0000010;PF12;T11;13410,08;13744,54;16032,73;0,00
2026-07-01;DMND0000010;PF12;T11;12059,76;12680,62;14418,33;0,00
2026-08-01;DMND0000010;PF12;T11;5352,07;5087,89;6398,79;0,00
2026-09-01;DMND0000010;PF12;T11;0,00;0,00;0,00;0,00
2026-10-01;DMND0000010;PF12;T11;0,00;0,00;0,00;0,00
2026-11-01;DMND0000010;PF12;T11;0,00;0,00;0,00;0,00
2025-01-01;DMND0000011;PF16;T03;18338,80;17390,10;24058,16;0,00
2025-02-01;DMND0000011;PF16;T03;16285,92;16601,08;21365,04;0,00
2025-03-01;DMND0000011;PF16;T03;18507,22;17908,09;24279,10;0,00
2025-04-01;DMND0000011;PF16;T03;22495,62;21562,92;29511,38;0,00
2025-05-01;DMND0000011;PF16;T03;18116,13;17860,42;23766,04;0,00
2025-06-01;DMND0000011;PF16;T03;19987,08;20378,31;26220,49;0,00
2025-07-01;DMND0000011;PF16;T03;19760,91;20407,87;25923,79;0,00
2025-08-01;DMND0000011;PF16;T03;7533,55;7270,48;9883,05;0,00
2025-09-01;DMND0000011;PF16;T03;18259,87;16992,70;23954,61;0,00
2025-10-01;DMND0000011;PF16;T03;19527,86;20509,33;25618,06;0,00
2025-11-01;DMND0000011;PF16;T03;20793,70;20435,29;27278,68;0,00
2025-12-01;DMND0000011;PF16;T03;16670,99;16903,25;21870,20;0,00
2026-01-01;DMND0000011;PF16;T03;25229,16;24830,96;33097,43;0,00
2026-02-01;DMND0000011;PF16;T03;22612,62;21262,56;29664,87;0,00
2026-03-01;DMND0000011;PF16;T03;26865,62;24315,02;35244,26;0,00
2026-04-01;DMND0000011;PF16;T03;33644,24;35303,40;44136,94;0,00
2026-05-01;DMND0000011;PF16;T03;21923,03;19558,67;28760,21;0,00
2026-06-01;DMND0000011;PF16;T03;20702,12;21872,74;27158,53;0,00
2026-07-01;DMND0000011;PF16;T03;24890,41;23508,72;32653,04;0,00
2026-08-01;DMND0000011;PF16;T03;8601,04;8365,13;11283,46;0,00
2026-09-01;DMND0000011;PF16;T03;0,00;0,00;0,00;0,00
2026-10-01;DMND0000011;PF16;T03;0,00;0,00;0,00;0,00
2026-11-01;DMND0000011;PF16;T03;0,00;0,00;0,00;0,00
2025-01-01;DMND0000012;PF15;T06;15446,56;16366,34;10835,92;4610,64
2025-02-01;DMND0000012;PF15;T06;13743,52;13495,30;9641,22;4102,30
2025-03-01;DMND0000012;PF15;T06;16450,08;17429,50;11539,90;4910,18
2025-04-01;DMND0000012;PF15;T06;22583,31;23217,67;15842,42;6740,89
2025-05-01;DMND0000012;PF15;T06;10999,85;11625,05;7716,51;3283,34
2025-06-01;DMND0000012;PF15;T06;19144,40;17128,74;13429,99;5714,41
2025-07-01;DMND0000012;PF15;T06;19424,99;19696,50;13626,83;5798,16
2025-08-01;DMND0000012;PF15;T06;6444,04;6770,84;4520,56;1923,48
2025-09-01;DMND0000012;PF15;T06;16866,51;17270,72;11832,03;5034,48
2025-10-01;DMND0000012;PF15;T06;18465,80;17632,21;12953,95;5511,85
2025-11-01;DMND0000012;PF15;T06;15729,29;14268,91;11034,26;4695,03
2025-12-01;DMND0000012;PF15;T06;13967,59;14263,42;9798,41;4169,18
2026-01-01;DMND0000012;PF15;T06;17021,45;16773,72;11940,72;5080,73
2026-02-01;DMND0000012;PF15;T06;14865,90;15000,27;10428,58;4437,32
2026-03-01;DMND0000012;PF15;T06;18921,02;17108,54;13273,29;5647,73
2026-04-01;DMND0000012;PF15;T06;19658,39;19877,51;13790,56;5867,83
2026-05-01;DMND0000012;PF15;T06;15552,76;14232,67;10910,42;4642,34
2026-06-01;DMND0000012;PF15;T06;18628,64;17449,95;13068,18;5560,46
2026-07-01;DMND0000012;PF15;T06;17564,73;18059,21;12321,84;5242,89
2026-08-01;DMND0000012;PF15;T06;8149,05;8538,36;5716,64;2432,41
2026-09-01;DMND0000012;PF15;T06;0,00;0,00;0,00;0,00
2026-10-01;DMND0000012;PF15;T06;0,00;0,00;0,00;0,00
2026-11-01;DMND0000012;PF15;T06;0,00;0,00;0,00;0,00
2025-01-01;DMND0000013;PF12;T07;9815,37;10246,24;10319,31;0,00
2025-02-01;DMND0000013;PF12;T07;7027,30;6401,71;7388,10;0,00
2025-03-01;DMND0000013;PF12;T07;9082,61;8772,82;9548,93;0,00
2025-04-01;DMND0000013;PF12;T07;7729,07;7798,92;8125,90;0,00
2025-05-01;DMND0000013;PF12;T07;7393,82;7429,81;7773,43;0,00
2025-06-01;DMND0000013;PF12;T07;6405,41;5751,52;6734,28;0,00
2025-07-01;DMND0000013;PF12;T07;8042,89;7656,05;8455,83;0,00
2025-08-01;DMND0000013;PF12;T07;2651,34;2455,02;2787,47;0,00
2025-09-01;DMND0000013;PF12;T07;8313,29;8145,15;8740,11;0,00
2025-10-01;DMND0000013;PF12;T07;11440,81;10328,34;12028,20;0,00
2025-11-01;DMND0000013;PF12;T07;7861,22;7805,04;8264,83;0,00
2025-12-01;DMND0000013;PF12;T07;8018,37;8238,16;8430,05;0,00
2026-01-01;DMND0000013;PF12;T07;5530,47;4923,11;5814,42;0,00
2026-02-01;DMND0000013;PF12;T07;11547,46;10227,26;12140,33;0,00
2026-03-01;DMND0000013;PF12;T07;16050,55;15991,38;16874,62;0,00
2026-04-01;DMND0000013;PF12;T07;17903,17;16567,68;18822,36;0,00
2026-05-01;DMND0000013;PF12;T07;12713,52;12272,14;13366,26;0,00
2026-06-01;DMND0000013;PF12;T07;15305,39;15896,61;16091,20;0,00
2026-07-01;DMND0000013;PF12;T07;16231,26;16587,27;17064,61;0,00
2026-08-01;DMND0000013;PF12;T07;5891,13;5868,35;6193,59;0,00
2026-09-01;DMND0000013;PF12;T07;0,00;0,00;0,00;0,00
2026-10-01;DMND0000013;PF12;T07;0,00;0,00;0,00;0,00
2026-11-01;DMND0000013;PF12;T07;0,00;0,00;0,00;0,00
2025-01-01;DMND0000014;PF15;T03;39314,16;39530,20;29834,65;9479,51
2025-02-01;DMND0000014;PF15;T03;40257,01;39250,66;30550,16;9706,85
2025-03-01;DMND0000014;PF15;T03;44480,18;40790,61;33755,03;10725,15
2025-04-01;DMND0000014;PF15;T03;50938,94;52878,76;38656,44;12282,50
2025-05-01;DMND0000014;PF15;T03;35823,78;32070,61;27185,88;8637,90
2025-06-01;DMND0000014;PF15;T03;47597,79;45434,59;36120,92;11476,87
2025-07-01;DMND0000014;PF15;T03;47776,66;44167,81;36256,66;11520,00
2025-08-01;DMND0000014;PF15;T03;18000,32;16539,79;13660,05;4340,27
2025-09-01;DMND0000014;PF15;T03;46365,91;45730,89;35186,07;11179,84
2025-10-01;DMND0000014;PF15;T03;53043,68;54712,35;40253,68;12790,00
2025-11-01;DMND0000014;PF15;T03;37687,66;39449,69;28600,34;9087,32
2025-12-01;DMND0000014;PF15;T03;31153,61;31917,21;23641,79;7511,82
2026-01-01;DMND0000014;PF15;T03;38035,73;34642,90;28864,48;9171,25
2026-02-01;DMND0000014;PF15;T03;35698,37;33452,86;27090,71;8607,66
2026-03-01;DMND0000014;PF15;T03;54943,16;53233,24;41695,16;13248,00
2026-04-01;DMND0000014;PF15;T03;50175,98;45990,64;38077,45;12098,53
2026-05-01;DMND0000014;PF15;T03;37915,40;35275,24;28773,16;9142,24
2026-06-01;DMND0000014;PF15;T03;44847,87;41239,68;34034,06;10813,81
2026-07-01;DMND0000014;PF15;T03;45629,48;40820,85;34627,21;11002,27
2026-08-01;DMND0000014;PF15;T03;17437,30;16865,27;13232,78;4204,52
2026-09-01;DMND0000014;PF15;T03;0,00;0,00;0,00;0,00
2026-10-01;DMND0000014;PF15;T03;0,00;0,00;0,00;0,00
2026-11-01;DMND0000014;PF15;T03;0,00;0,00;0,00;0,00
2025-01-01;DMND0000015;PF09;T09;15944,16;16162,95;20127,50;0,00
2025-02-01;DMND0000015;PF09;T09;14890,02;14878,80;18796,78;0,00
2025-03-01;DMND0000015;PF09;T09;19657,43;17464,94;24815,05;0,00
2025-04-01;DMND0000015;PF09;T09;20358,39;20544,86;25699,92;0,00
2025-05-01;DMND0000015;PF09;T09;14598,91;13472,96;18429,29;0,00
2025-06-01;DMND0000015;PF09;T09;19208,43;18999,15;24248,24;0,00
2025-07-01;DMND0000015;PF09;T09;19746,81;17657,42;24927,88;0,00
2025-08-01;DMND0000015;PF09;T09;7290,43;7364,98;9203,25;0,00
2025-09-01;DMND0000015;PF09;T09;20678,34;21591,43;26103,81;0,00
2025-10-01;DMND0000015;PF09;T09;20749,46;21173,08;26193,59;0,00
2025-11-01;DMND0000015;PF09;T09;18100,84;16624,32;22850,05;0,00
2025-12-01;DMND0000015;PF09;T09;15058,82;15610,77;19009,87;0,00
2026-01-01;DMND0000015;PF09;T09;19549,34;20466,88;24678,59;0,00
2026-02-01;DMND0000015;PF09;T09;19453,45;19318,39;24557,54;0,00
2026-03-01;DMND0000015;PF09;T09;25042,97;26461,10;31613,61;0,00
2026-04-01;DMND0000015;PF09;T09;28412,94;27241,15;35867,78;0,00
2026-05-01;DMND0000015;PF09;T09;18108,97;18675,98;22860,31;0,00
2026-06-01;DMND0000015;PF09;T09;21750,23;19936,12;27456,94;0,00
2026-07-01;DMND0000015;PF09;T09;15928,66;15132,23;20107,94;0,00
2026-08-01;DMND0000015;PF09;T09;7076,54;7093,88;8933,25;0,00
2026-09-01;DMND0000015;PF09;T09;0,00;0,00;0,00;0,00
2026-10-01;DMND0000015;PF09;T09;0,00;0,00;0,00;0,00
2026-11-01;DMND0000015;PF09;T09;0,00;0,00;0,00;0,00
2025-01-01;DMND0000016;PF02;T06;20549,57;19197,13;15533,53;5016,04
2025-02-01;DMND0000016;PF02;T06;14298,95;14635,08;10808,65;3490,30
2025-03-01;DMND0000016;PF02;T06;21113,44;19418,12;15959,76;5153,68
2025-04-01;DMND0000016;PF02;T06;26451,62;27230,52;19994,92;6456,70
2025-05-01;DMND0000016;PF02;T06;14982,41;14564,36;11325,28;3657,13
2025-06-01;DMND0000016;PF02;T06;20341,84;21161,45;15376,50;4965,34
2025-07-01;DMND0000016;PF02;T06;19891,01;18369,02;15035,72;4855,29
2025-08-01;DMND0000016;PF02;T06;7733,10;8010,98;5845,49;1887,61
2025-09-01;DMND0000016;PF02;T06;21377,48;19825,29;16159,35;5218,13
2025-10-01;DMND0000016;PF02;T06;23375,13;20776,52;17669,38;5705,75
2025-11-01;DMND0000016;PF02;T06;16372,26;15552,16;12375,88;3996,38
2025-12-01;DMND0000016;PF02;T06;14088,06;14595,20;10649,24;3438,82
2026-01-01;DMND0000016;PF02;T06;13732,33;13233,19;10380,34;3351,99
2026-02-01;DMND0000016;PF02;T06;17533,08;17100,73;13253,35;4279,73
2026-03-01;DMND0000016;PF02;T06;25210,17;26110,84;19056,50;6153,67
2026-04-01;DMND0000016;PF02;T06;23153,83;20867,23;17502,10;5651,73
2026-05-01;DMND0000016;PF02;T06;15419,35;14106,99;11655,57;3763,78
2026-06-01;DMND0000016;PF02;T06;19629,41;19863,68;14837,97;4791,44
2026-07-01;DMND0000016;PF02;T06;16395,53;15397,00;12393,47;4002,06
2026-08-01;DMND0000016;PF02;T06;6394,43;6501,74;4833,58;1560,85
2026-09-01;DMND0000016;PF02;T06;0,00;0,00;0,00;0,00
2026-10-01;DMND0000016;PF02;T06;0,00;0,00;0,00;0,00
2026-11-01;DMND0000016;PF02;T06;0,00;0,00;0,00;0,00
2025-01-01;DMND0000017;PF08;T01;45207,69;46471,27;41004,60;4203,09
2025-02-01;DMND0000017;PF08;T01;41660,10;38341,16;37786,84;3873,26
